root_hash,cat_ids,hash
3c3eb9a273738f2edaf63de4498be2c3fa08c977412eede2c8c12f221f12a5e3,5660,4efbd7f2e12ec17a4d67531e981a164b53d11af01fc3e613cecbf291f69607ae
,6158,caafff27d6058e6b0a8431bbf08c1eb20e8efc5276c536e29d6209bba76b86d5
,12402,8bdbf945be07aa26c5bb1b1cb38ec03efbc9ad5f39c22d3f53414001645e8b87
,13056,f0165952be7527f82453f7f4154373792569a638e5bb5e6af571ff8abba138cc
,13238,f3d161f500c081329f4ed914bbd90480de0036d32a5a2b7164509c31ec9b3b91
,13563,91bf81777a855cdd1b5760b5405da7c7d19b6ee07908c11b2cda6378e61e4714
,18345,7b1a61b69d652ccc175ef23c75671fb5d7c8887dba6b6b7a20dcfcc370489909
,116,ef7dd604261e1d8b02eb495e36c2638931fa61d9ee75aade2b4f3ded1d8859df
,134,35a5e77eedc3d81fb0933bfb800dc761f9dcd98fed5928ed49ba7151b4a94666
,185,6fbe9f69d0559fde0fc14d2d916fcb318a8c6fb5bcdc0196c2c77137a414768a
,274,3069e3d342fa91df14c3d6452c0e0f67f20cb7ac9ed44aad648f1ef3abf3ef1d
,357,77546e22a3226c4ad6249f3273ce71c63da444cc4be5354d4bc3741a3b731f77
,531,bc9deb35eb260eeda03b2db11de82f74d976b188bbe5608183d21e92eeb76795
,586,ff8a3f05a885c1f48ec8c77edae03bcdb9140bdc064cfb5570ec6be674ae9eda
,599,9feebf34125123f9fb46d548cbf892feb0ff84d178e13a3a264fa85c7bdfff0b
,724,24dfcf8286a1e5b81bba145edd4c99d42c1429b284d4c6c6d934759fe6c8f7a8
,1297,81ccf1fbf8f095887262f9cd1fc291f2d567f32c6f553921637bfac138f3acb5
,1303,761b941a1c9720b1d3ed78e486fca848fa034a1a9c9dbb82e1d958d65547072b
,1469,652bf24a354a2bab3c65ad5e902868d60812ffe996764e53d5920fbdab467375
,1480,261328621c3ce37ddf092f905c49ad882d0288b240cc122ad31364edcdb03a46
,1484,36621f20b9088966f4972d52bda038cb26048b2678efc8ee4cc766776e0022d3
,1511,5d64f6bf0166da692a30b687db8881ae0343d1ae4a0aa6fe973c054ed99d3d17
,1547,259d1216489616d97d759e56d71b51589d7ca8d25d02696f913989fb9e386b06
,2048,3a0d1738ddc5ab3d2c905713f8a615a3b64f6c1844c5178ee3a0c93137a9a593
,2162,a355966d015dbe0b3d9e646fd7bc176d46e5d1e706bc38b3cc643d709a351209
,2260,ef544496c87474942521870eaaedd9ecb9d215f948b8de83da81eee30c871340
,2363,d9c1c4141be08d08d6de3c74903e672c30d19b1f2b4d8dcb1b7176ce8c641bfb
,2438,6c175ae86f0ade5d4ff72b29a140042d6331b43a13e8a8fd1b6e789679bc3fd3
,2441,081fa67b0ad5caaf1573cf342ceab14fd3f62c8d95c23f64923fbdb70a281b35
,2446,c3fa8175252e21048dc7f48768ea9b3375cde3113a50584b1c44a0dfa3be56d8
,2471,cdf6188a4e18b26d935a87d5d84b666d50bb10a242f52061438769da703a04de
,2505,0887c3f862858e75d0cde755ce8ed1cc8b957c7361a5e10f89177c3e240833e4
,2522,90d4f4030a98a4bffe999eec3efbcd6ea3ca51d702e528c17ae6978a82cc91da
,2528,74cd405aa5a8583be400827bbb2f5cc61953d78cdb8ceb8d34a59189866ac7b0
,2550,6dbdcd290d0abf1694e46574771937720300dceb93b65c7f98287faf3b00344b
,2592,426873a89dbb9e5892734a571de8166fe04b66b7f3203ef47f2d9fab3ca7ec73
,2602,e8caa25ca08a6f6c4d4744864a8aaba490d772360c4fd74f105c26b7f7f9b17b
,2646,103ac635ce2b1bc47b22adf090c4b54c1f2e7b3c04bfd7906b7b0d0bc76c4175
,2815,6d77fcaedfec8f5eac6ac8a27d448f4354bddc12a6f1de4c0ebfbd519636bcb9
,3007,932a5c617c93d857e096bf00d4abd3f9fd4025d9540a3e21903cc7f52171a068
,3058,0ead8d7aa621303ec10a4c31e6fc43ff010456ccdaa852a8b6053787393091f7
,3072,45ec74b5089d9755ca80252f9e28e4c4cddc5c41428523fa169e64a307c7f4c7
,3126,37b2633fbb6adf74e4d0023dbfb06ef54510a785e9d58c2cd9b1122c98ba6e3c
,3182,436ae8dd849f196bb716f9d4dd8f5314b61aa6dcb89c36a6e05f22a8374da699
,3250,3a228a07f853f6f4847073656fec0428d339b9d12edde87b9248a7b62b758a30
,3393,2c86b827fb194a0ecf8a5ca1792bce568b3330cbe7e8f74e22af0d5ba7c913ba
,3415,47ed440f53cbef363542ef44fee5cdf22d42ed924203352b17d967a8526bbffe
,3499,790b96e05fb213e3e95b007e8933a26678e3548dc476c906abfe95a4e320d6d2
,3686,d5dbd3dd407ed85c03d25cf7e5ede9fbcd8617309e6ec419a40a28b6e8d2534d
,3802,4bb3ae81c41fd2da9561fa5aa958653f57596993a1dc911c1ec943f19e6c4d6e
,3968,9432a3e87bf0599e1548c3647251c2d53287b10d25e33673b687174ac2f615a9
,4993,e498a878e06e88e7b05c288a6bb4242d5f1a08a5308738c92f160a6f1c43f41f
,5045,a3d52d2e709df9796b06b163c96693b00b00222fcfae68eb2537c214a0ac8a3f
,5481,8aa958157fe0728201d58653d4a4c7d20712ed55fdd9fec892c0c78ac7d9eb2e
,5487,a2e5dcb7b48a08b237bf275e8c7d8904ca406e66459bb52ad0bd1fbb085e0bdc
,5628,b78724c20a2fe61089549b195ee4cf84c7a82cc37b5177f38373616edbbe2828
,5636,65ff21db3959adc0df73796504920845a81e162c6a1134b9581b09e1cd1a0ad1
,5662,dfc388739467b6b27ed94a3ed3e7e9ca284a3bab737319cfd9ee551f3adbfe11
,5668,31b0425569ecc957eb3f702d4740abdab1300ad4f5bd6c7fa47dd74c1d477093
,5675,e77e706373a1be2b2bb8bad42c1e5715120b623aaea7d598bc12a19a02ec0aa8
,5679,15acd63474b01a8188ac57872f34a30aa48f4728abc6f41f1487a00b969451ec
,5684,9ff5937b4e230e14a8df4d68b263632b80ef2f852e886668e8058bbdaec743bd
,5699,47e64feba369ab773434f31e8ec281686e02cb379af491e7abb580ea44e6b745
,5710,cd0286e9a45a0fcdb2822b3adfea66a1f09135d3aa764878252e441ab6bdc5ad
,5760,87395bc5bf292531e835e562814d9b73c35390dc92c87adada80d84b48552b66
,5768,2679aef118c4b0314d795ae74d62fd1f75263fb8faa524c07346ff05236b2d11
,5781,b400d00bc7ffde500c3a9dffe20ccaa5e020eb35e97f5838a9e15b3ff0b32c59
,5834,f058dbbf74f4b83c3be07fc444982ad8dc1e30153d9c4bd3a22311fdd0406e8d
,5842,414e1ab162206a5f8b70cfa4b7c6599a303c6358c6cb6476c482e51c849a20d2
,5986,59b164844b7a1f9536a26cf9d119bd59334e2d8eeb5d30823356f675f8f5ccb5
,6037,325596f949a857e7a970f26c7d646fa8cbc08e5d3ae0f88549dce02b2eeef698
,6079,a0c0fa6d77615be3bf6991b366bc6eeb2781e5379a455c129e1723debc11d8b6
,6211,9b2055ee22f16bc4d3afa059323a6ba4b00c7315c60f7971859e289e454d4758
,6284,0d948faedd950a93d4b42dcb23b6156402d6de89cec5bf19a24d1e9d11efbb72
,6532,0ea6b5219a3c6205f820b47ec55f79e80d5ccb51fb1781b86fec58d5e26bcbad
,6688,352d179001ce6362869346b866300fa1bba764c6e70b1258e3a67d35ac3d6934
,6692,f225c7f22c547e3a2192d45d44fd04c7cbe126363f7a8980d51ef2ace474ee00
,6704,a1652fa5a5ddf38e4bd0c0017909c7174fe56a8e571a45a736215350ab58290e
,6705,1a8bfef3a6fcdb7663a7915f17ecb52996da96f97db829f8022326b0e0f44834
,6748,1973bd58965d5a0e1a4e901696cc01be8c516131b312ec7c49805baa9d6a6b6e
