Time_mean,Time_median,UGRD_10maboveground_mean,UGRD_10maboveground_median,VGRD_10maboveground_mean,VGRD_10maboveground_median,DLWRF_surface_mean,DLWRF_surface_median,APCP_surface_mean,APCP_surface_median,precip_rate_mean,precip_rate_median,TMP_2maboveground_mean,TMP_2maboveground_median,SPFH_2maboveground_mean,SPFH_2maboveground_median,PRES_surface_mean,PRES_surface_median,DSWRF_surface_mean,DSWRF_surface_median,precip_rate_active_catchments,timestamp
1746869400.0,1746869400.0,0.3632829,0.20851174,1.6152089,1.5860314,292.46896,292.68015,7.411347e-10,0.0,7.411347e-10,0.0,290.66428,290.14362,0.0035111487,0.00339429,81991.75,82194.67,181.54474,0.0,236,20250510T00
1746873000.0,1746873000.0,0.53587246,0.32421902,1.8345819,1.7545748,292.3681,292.6779,4.5090032e-10,0.0,4.5090032e-10,0.0,290.74957,290.2077,0.0035485884,0.0034303046,81994.49,82195.42,218.08438,0.0,313,20250510T01
1746876600.0,1746876600.0,0.7154538,0.43324232,2.134354,1.9988192,293.0841,293.22864,7.2638e-11,0.0,7.2638e-11,0.0,291.05423,290.4233,0.0035969121,0.0034974888,82018.13,82219.375,264.62067,0.0,154,20250510T02
1746880200.0,1746880200.0,0.9145723,0.56121254,2.37994,2.222102,292.56598,292.367,6.6634117e-13,0.0,6.6634117e-13,0.0,291.27786,290.42792,0.0035523896,0.003456189,82008.74,82210.0,312.98645,0.0,20,20250510T03
1746883800.0,1746883800.0,1.0940208,0.68553734,2.603222,2.4067755,294.0347,292.85275,2.8548095e-09,0.0,2.8548095e-09,0.0,291.5445,290.49887,0.0035780414,0.0034906934,82001.875,82200.98,353.07745,108.528076,424,20250510T04
1746887400.0,1746887400.0,1.3348129,0.84850156,2.8807142,2.6956658,294.44104,292.5523,1.9133926e-09,0.0,1.9133926e-09,0.0,291.91595,290.89557,0.0034924452,0.0034002126,81987.25,82185.66,388.58792,294.45062,576,20250510T05
1746891000.0,1746891000.0,1.5689855,1.0582423,3.0873961,2.952949,295.79733,293.07733,6.4083885e-09,0.0,6.4083885e-09,0.0,292.27997,291.65723,0.003481489,0.00338316,81966.85,82163.84,413.10373,419.98883,1347,20250510T06
1746894600.0,1746894600.0,1.7832379,1.2939895,3.3642538,3.307686,297.92203,294.8186,2.0050487e-08,0.0,2.0050487e-08,0.0,292.7132,292.90002,0.0035075515,0.0033998154,81946.945,82142.31,427.4876,422.487,3430,20250510T07
1746898200.0,1746898200.0,1.897978,1.4152391,3.5316334,3.460738,298.69757,295.02814,2.6534222e-08,0.0,2.6534222e-08,0.0,293.02606,293.77643,0.0034642026,0.0033432732,81914.39,82108.15,433.36935,424.4325,3379,20250510T08
1746901800.0,1746901800.0,2.1165938,1.6985652,3.5387084,3.5185611,299.10562,295.51953,4.2890417e-08,0.0,4.2890417e-08,0.0,293.2164,294.09265,0.0034547288,0.0033228374,81916.1,82109.42,436.013,427.1952,3243,20250510T09
