date,init,timestamp,datastream,get_resources,datastreamconfgen,ngenconfgen,get_forcings,validation,ngen,merkle,tar,s3_move
20250510,00,20250510T00,368.0,12.0,25.0,16.0,2.0,32.0,260.0,11.0,4.0,5.0
20250510,01,20250510T01,345.0,13.0,26.0,16.0,2.0,26.0,239.0,11.0,4.0,5.0
20250510,02,20250510T02,336.0,11.0,25.0,15.0,2.0,29.0,235.0,9.0,4.0,5.0
20250510,03,20250510T03,349.0,13.0,26.0,16.0,2.0,25.0,248.0,9.0,3.0,5.0
20250510,04,20250510T04,349.0,13.0,26.0,16.0,2.0,31.0,240.0,12.0,4.0,5.0
20250510,05,20250510T05,347.0,14.0,30.0,16.0,2.0,26.0,239.0,11.0,3.0,5.0
20250510,06,20250510T06,,,,,,,,,,
20250510,07,20250510T07,340.0,12.0,25.0,14.0,2.0,27.0,238.0,10.0,4.0,5.0
20250510,08,20250510T08,349.0,12.0,25.0,13.0,2.0,25.0,251.0,11.0,4.0,6.0
20250510,09,20250510T09,356.0,12.0,24.0,16.0,1.0,24.0,256.0,12.0,4.0,6.0
20250510,10,20250510T10,336.0,12.0,25.0,10.0,2.0,31.0,234.0,10.0,4.0,7.0
20250510,11,20250510T11,352.0,12.0,26.0,16.0,2.0,29.0,248.0,11.0,4.0,5.0
20250510,12,20250510T12,350.0,13.0,25.0,15.0,2.0,22.0,252.0,11.0,3.0,5.0
20250510,13,20250510T13,337.0,12.0,26.0,14.0,2.0,24.0,237.0,11.0,4.0,5.0
20250510,14,20250510T14,353.0,12.0,25.0,14.0,2.0,24.0,256.0,10.0,4.0,6.0
20250510,15,20250510T15,325.0,12.0,25.0,11.0,3.0,22.0,234.0,9.0,3.0,5.0
20250510,16,20250510T16,356.0,14.0,31.0,14.0,2.0,24.0,255.0,8.0,3.0,5.0
20250510,17,20250510T17,322.0,13.0,25.0,9.0,2.0,23.0,229.0,10.0,3.0,5.0
20250510,18,20250510T18,354.0,13.0,17.0,16.0,2.0,30.0,256.0,11.0,4.0,5.0
20250510,19,20250510T19,332.0,13.0,25.0,18.0,2.0,26.0,230.0,10.0,3.0,5.0
20250510,20,20250510T20,338.0,12.0,24.0,10.0,2.0,20.0,249.0,11.0,3.0,5.0
20250510,21,20250510T21,324.0,11.0,24.0,15.0,2.0,24.0,232.0,6.0,3.0,5.0
20250510,22,20250510T22,398.0,16.0,44.0,19.0,2.0,29.0,267.0,12.0,4.0,6.0
20250510,23,20250510T23,350.0,11.0,25.0,15.0,2.0,24.0,253.0,10.0,4.0,10.0
20250511,00,20250511T00,,,,,,,,,,
20250511,01,20250511T01,352.0,12.0,25.0,11.0,2.0,21.0,261.0,11.0,3.0,6.0
20250511,02,20250511T02,341.0,12.0,25.0,12.0,2.0,22.0,248.0,11.0,4.0,5.0
20250511,03,20250511T03,355.0,12.0,23.0,15.0,1.0,26.0,256.0,11.0,4.0,6.0
20250511,04,20250511T04,352.0,13.0,25.0,14.0,2.0,24.0,255.0,10.0,3.0,5.0
20250511,05,20250511T05,313.0,10.0,14.0,16.0,2.0,24.0,231.0,6.0,4.0,8.0
20250511,06,20250511T06,333.0,12.0,25.0,16.0,1.0,24.0,235.0,10.0,4.0,5.0
20250511,07,20250511T07,331.0,11.0,24.0,15.0,1.0,28.0,232.0,11.0,3.0,4.0
20250511,08,20250511T08,332.0,12.0,25.0,11.0,2.0,21.0,247.0,6.0,3.0,6.0
20250511,09,20250511T09,354.0,13.0,25.0,17.0,2.0,27.0,251.0,10.0,4.0,6.0
20250511,10,20250511T10,340.0,12.0,26.0,15.0,2.0,24.0,239.0,11.0,3.0,5.0
